given_names,family_name,orcid,country,taxa
Jose Paulo,Guadanucci,0000-0001-9724-9010,,"Araneae, Avicularia versicolor, Barychelidae, Catumiri, Chaetopelma, Ctenochelus maculatus, Cyrtaucheniidae, Diamantina, Dipluridae, Fufius, Fufius funebris, Fufius lucasae, Heterophrictus, Holothele, Ischnocolinae, Magulla, Mygalomorphae, Nesiergus simon, Oligoxystre, Plesiophrictus, Scopula significance, Theraphosidae, Tmesiphantes, Tmesiphantes mirim"
Juan,Guayasamin,0000-0003-0098-978X,,"A. bomolochos, Allophryne ruthveni, Amazonia, Amphibia, Anura, Atelopus, Atelopus cruciger, Atelopus ignescens, Aulacorhynchus, Aulacorhynchus toucanets, Aves, Bufonidae, Centrolene lema, Centrolene lynchi, Centrolenella ametarsia, Centrolenidae, Cochranella, Cochranella granulosa, Cochranella megista, Cochranella ocellata, Cochranella petersi, Craugastoridae, Cyprinidae, Cypriniformes, Dipsadidae, Eleutherodactylus, Eleutherodactylus eugeniae, Eleutherodactylus lacrimosus assemblage, Eleutherodactylus orcesi, H. angelicus, Hyalinobatrachium, Hylidae, Hyloscirtus larinopygion, Hypsiboas roraima, Leptodactylidae, Lynchius, Lythrurus, Nymphargus, Nymphargus grandisonae, Oreobates, Osornophryne, Pichincha, Pristimantis, Pristimantis eremitus, Pristimantis myersi, Pristimantis orestes, Pristimantis ornatissimus, Ramphastidae, Serpentes, Serpentes dipsadidae, Strabomantidae, Una nueva especie"
Filipe,Gudin,0000-0002-1081-7597,Brazil,"Diptera, Tachinidae"
Raul Narciso,Guedes,0000-0001-6229-7549,,"Acanthoscelides obtectus, Acari, Acarophenacidae, Acarophenax lacunatus, Aceria guerreronis, Acromyrmex, Acromyrmex subterraneus subterraneus, Aculops lycopersici, Aedes aegypti, Ageratum conyzoides, Agromyzidae, Ananas, Anisopteromalus calandrae, Anticarsia gemmatalis, Aphidius colemani, Apidae, Apis mellifera, Ascia monuste orseis, Asopinae, Atta bisphaerica, Atta sexdens rubropilosa, Azadirachta indica, Bemisia tabaci, Bombus terrestris, Bostrichidae, Brassica oleracea, Brontocoris tabidus, Bruchinae, Callosobruchus maculatus, Ceraeochrysa cubana, Chrysomelidae, Chrysoperla externa, Coleoptera, Cryptolestes ferrugineus, Cryptotermes brevis, Cucujidae, Curculionidae, Dermestidae, Diaphania hyalinata, Diatraea saccharalis, Dinoderus minutus, Dione juno juno, Diptera, Doru luteipes, Drepana arcuata, Drosophila, Empoasca kraemeri, Eriophyidae, Eriopis connexa, Eucalyptus, Eucalyptus cloeziana, Eucalyptus grandis, Eucalyptus urophylla, Euschistus heros, Formicidae, Gelechiidae, Geometridae, Heliconidae, Helicoverpa zea, Heteroptera, Hymenoptera, Hypothenemus hampei, Ichneumonidae, Iphiseiodes zuluagai, Isoptera, Lepidoptera, Leucoptera coffeella, Liriomyza sativae, Lycopersicon hirsutum, Lycopersicon hirsutum f. glabratum, Lycopersicon hirsutum f. typicum, Lyonetiidae, Melipona quadrifasciata, Melipona quadrifasciata anthidioides, Meliponini, Miridae, Myzus persicae, Nasutitermitinae, Neoleucinodes elegantalis, Neoseiulus baraki, Noctuidae, Oligonychus ilicis, Palmistichus elaeisis, Pentatomidae, Phoretic, Phytoseiidae, Phytoseiulus macropilis, Pieridae, Piezodorus guildinii, Platygastridae, Platyscytus decempunctatus, Plutella xylostella, Podisus distinctus, Podisus nigrispinus, Prostigmata, Pteromalidae, Pyralidae, Rhizopertha dominica, Rhyzopertha dominica, S. oryzae, S. zeamais, Scolytinae, Sitophilus granarius, Sitophilus oryzae, Sitophilus zeamais, Spodoptera frugiperda, Supputius cincticeps, Tecia solanivora, Telenomus podisi, Tenebrio molitor, Tenebrionidae, Tetranychidae, Theocolax elegans, Thyrinteina arnobia, Thyrinteina leucoceraea, Tribolium castaneum, Trigona spinipes, Trogoderma granarium, Tuta absoluta, Tynacantha marginata, Yponomeutidae, Zabrotes subfasciatus"
Benoit,Guénard,0000-0002-7144-1175,Hong Kong,"Aenictus, Aenictus minutulus, Amblyoponinae, Dorylinae, Ectatomma ruidum, Formicidae, Hymenoptera, Leptanilla, Myopias, Myrmecina, Pachycondyla chinensis, Paratopula, Pheidole, Ponerinae, Rotastruma, Vollenhovia emeryi"
José Manuel,Guerra-García,0000-0001-6050-4997,Spain,"Amphipoda, Asparagopsis armata, C. septentrionalis, Caprella, Caprella andreae, Caprella caulerpensis, Caprella dilatata, Caprella equilibra, Caprella grandimana, Caprella linearis, Caprella penantis, Caprella scaura, Caprellidae, Caprellidea, Caprellina longicollis, Caprellinoides, Caulerpa prolifera, Caulerpa racemosa var. cylindracea, Corallina elongata, Crustacea, Cymbula nigra, Deutella, Deutella mayeri, Deutella venenosa, Dragonera, Eunicella gazella, Gastropoda, Hyale schmidtii, Leptogorgia lusitanica, Liropus, Lophocladia lallemandii, Malacostraca, Mayerella, Mayerella magellanica, Metacaprella, Metaprotella, Metaprotella hummelincki, Metaprotella sandalensis, Metaprotella tanzaniensis, Noculacia, Octopus maya, Paracaprella pusilla, Parvipalpus onubensis, Patella ferruginea, Patellidae, Peracarida, Phtisica marina, Phtisicidae, Polycera aurantiomarginata, Protellidae"
Pablo,Guerrero,0000-0003-1034-1899,Chile,"Alliaceae, Amphibia, Cactaceae, Copiapoa, Eriosyce, Eschscholzia californica, Eupsophus, Leptodactylidae, Leucocoryne, Neoporteria, Neoporteria (Cactaceae), Papaveraceae, Pinus radiata"
Ricardo,Guerrero,0000-0003-0925-9476,,"Abutilon, Acari, Acarina, Amphibia, Anacroneuria, Anura, Bisbalia vossi, Bufo marinus, Callicebus, Canis lupus, Cebidae, Chiroptera, Cricetidae, Dermanyssoidea, Diptera, Echimyidae, Filarioidea, Heligmonellidae, Heligmosomoidea, Heteromys anomalus, Hormopsylla, Hypocristata, Insecta, Ischnopsyllidae, Labidocarpidae, Lawrenceocarpus, Listrophoroidea, Litomosoides, Litomosoides filaria, Litomosoides yutajensis, Macronyssidae, Mammalia, Mansonella, Martes martes, Mermithidae, Molinema, Molineoidea, Monodelphis emiliae, Monodelphoxyuris dollmeiri, Nectomys palmipes, Nematoda, Onchocercidae, Oswaldocruzia, Oswaldocruzia venezuelensis, Oxyurida, Oxyuridae, Parichoronyssus, Perlidae, Pheromermis, Phyllostomus, Plecoptera, Rhinella marina, Rodentia, Sciuridae, Sciurodendrium, Sciurodendrium gardneri, Sciurus carolinensis, Sigmodon hispidus, Sigmodontinae, Siphonaptera, Streblidae, T. callicebi, Tolima, Trichobius, Trichostrongyloidea, Trypanoxyuris croizati, Vexillata, Wolbachia, Wolbachia pipientis, Xenotrichobius"
Roberto,Guidetti,0000-0001-6079-2538,Italy,"Acutuncus antarcticus, Calcarobiotus, Ciliophora, Echiniscidae, Echiniscoidea, Echiniscus blumi, Eohypsibiidae, Eutardigrada, Halyomorpha halys, Haplomacrobiotus, Heterotardigrada, Hypsibiidae, Hypsibius zetlandicus, Macrobiotidae, Macrobiotinae, Macrobiotus, Macrobiotus hufelandi, Macrobiotus macrocalix, Mopsechiniscus franciscae, Murrayon, Parachela, Pseudodiphascon, Pyxidium tardigradum, Richtersius, Tardigrada, Thulinius"
loretta,Guidi,0000-0002-9009-9520,,"Acanthodasys aculeatus, Chaetonotida, Chordodasiopsis, Crasiella, Dinodasys mirabilis, Diuronotus aspetos, Gastrotricha, Lepidodasyidae, Lepidodasys, Macrodasyida, Megadasys, Musellifer delamarei, Neodasys ciritus, Paraturbanella teissieri, Thymus mastichina, Turbanellidae, Urodasys, Xenodasyidae, Xenodasys, Xenodasys eknomios"
Marcus,Guidoti,0000-0003-1744-6191,Brazil,"Baeotingis, Bignoniaceae, Gargaphia decoris, Gargaphia paula, Handroanthus, Handroanthus heptaphyllus, Hemiptera, Heteroptera, Sphaerocysta, Teleonemia scrupulosa, Tingidae, Tinginae, Tingis americana, Vianaidinae"
Noemi,Guil,0000-0002-0116-4926,Spain,"Bathynellacea, Bilateria, Crustacea, Echiniscoidea, Echiniscus, Echiniscus bigranulatus, Eutardigrada, Heterotardigrada, Iberobathynella, Macrobiotidae, Macrobiotus, Parabathynellidae, Syncarida, Tardigrada"
Romain,Guilbaud,0000-0001-9701-9522,,""
Rhainer,Guillermo Ferreira,0000-0001-7774-5252,,"Acanthagrion truncatum, Acanthagrion truncatum selys, Argia reclusa, Athene cunicularia, Atopozelus, C. rutilans, Calopterygidae, Ceratopogonidae, Chalcopteryx scintillans, Coenagrionidae, Damselfly, Diptera, Erythrodiplax ana, Forcipomyia (Pterobosca) incubans, Heleomyzidae, Hemiptera, Ischnura capreolus, Lepidoptera, Lestes bipupillatus, Lestidae, Libellulidae, Mnesarete pudica, Odonata, Oxyagrion microstigma, Papilionoidea, Polythoridae, Reduviidae, Telebasis griffinii, Tigriagrion aurantinigrum, Zenithoptera lanei, Zygoptera"
Erick,Guimarães,0000-0003-4480-5452,Brazil,"Butis koilomatodon, Characidae, Characiformes, Charax, Ctenogobius boleosoma, Eleotridae, Gasteropelecus sternicla, Gobiidae, Iguanodectinae, Moenkhausia oligolepis, Ostariophysi, Piabucus dentatus"
Flavio Henrique,Guimarães Rodrigues,0000-0002-4797-0085,,"Acari, Alouatta caraya, Alouatta fusca, Artiodactyla, Calomys, Canastra, Carnivora, Cerdocyon thous, Cervidae, Chrysocyon brachyurus, Clyomys laticeps, Conepatus semistriatus, Cricetidae, Dimorphandra mollis, Echimyidae, Euphractus sexcinctus, Falco femoralis, Hydrochoerus hydrochaeris, Ixodidae, Kunsia tomentosus, Leguminosae, Mephitidae, Myrmecophaga tridactyla, Myrmecophagidae, Oncifelis colocolo, Ozotoceros bezoarticus, Panthera onca, Rodentia, Serra da, Sigmodontinae, Speothos venaticus, Tamandua tetradactyla"
Guillaume,Guinot,0000-0003-3363-6972,,"Actinopterygii, Chondrichthyes, Echinorhinidae, Elasmobranchii, Euselachii, Hexanchiformes, Lamniformes, Myliobatiformes, Neoselachii, Squatina cranei, Squatiniformes, Synechodontiformes"
Simon,Gunkel,0000-0001-7105-1399,,"Ceratopogonidae, Diptera, Hymenoptera"
Gregg F,Gunnell,0000-0003-3504-409X,,"Chiroptera, Myotis, Vespertilionidae"
Carlos Frederico Deluqui,Gurgel,0000-0002-7321-6115,,"Amphiroa, Arthrophycus, Bactrophycus, Bryopsidales, C. racemosa var. cylindracea, Caulerpa, Caulerpa peltata, Caulerpa racemosa, Caulerpaceae, Ceramiales, Chlorophyceae, Chlorophyta, Chondrophycus flagelliferus, Chrysymenia, Chrysymenia pseudoventricosa, Corallinaceae, Dictyotales, Fucales, G. abyssalis, G. brasiliensis, G. cata-luziana, G. flabelliformis, G. hommersandii, G. lacinulata, Gloiosaccion, Gracilaria, Gracilaria apiculata, Gracilaria cearensis, Gracilaria domingensis, Gracilaria salicornia (gracilariaceae, Gracilaria silviae, Gracilaria tikvahiae, Gracilaria vermiculophylla, Gracilariaceae, Gracilariales, Gracilariales rhodophyta, Gracilariopsis, Gracilariopsis silvana, Lobophora, Osmundea lata, Padina, Phaeophyceae, Phyllotricha, Rhodomelaceae, Rhodophyta, Rhodymeniaceae, Rhodymeniales, Sargassopsis, Sargassum, Ulva australis"
Dhan Bdr.,Gurung,0000-0001-8082-5181,,"Cyprinidae, Cypriniformes"
Vladimir,Gusakov,0000-0002-9657-5049,,"Apocyclops dengizicus, Copepoda, Cyclopoida, Cylindropsyllidae, Dorylaimida, Dorylaimidae, Dorylaimoides, Eumonhystera tuporis, Ischiodorylaimus cognatus, Monhysteridae, Nematoda, Neotripyla vulgaris, Nygolaimidae, Paraleptastacus, Semitobrilus andrassyi, Spinicauda, Stenocypris (ostracoda crustacea, Tridentulus, Triplonchida"
Oleg,Gusev,0000-0002-6203-9758,,"Anomura, Chironomid, Chironomidae, Coenobitidae, Diptera, Hordeum vulgare, Polypedilum, Polypedilum vanderplanki, Sesarma haematocheir, Upogebia major"
Juliana,Gusson Roscito,0000-0003-1494-1162,Germany,"Calyptommatus sinebrachiatus, Gymnophthalmidae, Gymnophthalmini, Nothobachia ablephara, Squamata"
Eliécer,Gutiérrez,0000-0001-6790-8185,,"Carnivora, Ctenomys, Didelphidae, Heteromyidae, Heteromys, Marmosa robinsoni, Marmosa waterhousei, Mazama bricenii, Phyllodia, Pteronotus, Rodentia, Scolopendra gigantea, Ursidae"
Yeisson,Gutiérrez,0000-0001-8560-9795,Germany,"Acanthagrion viridescens, Americabaetis alphus, Baetidae, Coenagrionidae, Ephemeroptera, Heteroptera, Insecta, Nepomorpha, Ochterus, Odonata, Paracloeodes caldensis, Phasmatodea"
Paul David Alfonso,Gutierrez Cardenas,0000-0001-8219-0108,Colombia,"Andinophryne, Anguidae, Annona cherimolioides, Annonaceae, Anolis, Anura, Artemia salina, Bufonidae, Centrolene savagei, Centrolenidae, Colostethus fraterdanieli, Cosmocerca parva, Cosmocercidae, Dendrobatidae, Dendropsophus columbianus, Diploglossus monotropis, Hylidae, Iguania, Nematoda, Polychrotidae, Pristimantis labiosus, Rhaebo, Squamata"
Diego Eduardo ,Gutiérrez Gregoric,0000-0002-8001-1062,Argentina,"Achatina fulica, Achatinidae, Anancylus rosanae, Ancylidae, Annelida, Biomphalaria spp, Chilina, Chilina fluminea, Chilina iguazuensis, Chilinidae, D. cimex, Drepanotrema kermatoides, Drepanotrema spp, Eisenia fetida, Gastropoda, Glacidorbidae, Heterobranchia, Hygrophila, Lumbricidae, Melanoides tuberculata, Melanoides tuberculatus, NATURALES, Planorbidae, Pulmonata, Sineancylus, Thiaridae"
Yeisson,Gutiérrez Lopez,0000-0002-0166-2933,Colombia,"Baetidae, Buenoa tarsalis, Caelifera, Callibaetis radiatus, Coenagrionidae, Diapheromeridae, Ensifera, Ephemeroptera, Hemiptera, Insecta, Libethra, Notonectidae, Odonata, Orthoptera, Phasmatodea"
Roberto,Gutierrez Poblete,0000-0002-7706-0146,Peru,"Anura, Dendrobatidae, Pristimantis"
Pablo E.,Gutiérrez-Fonseca,0000-0003-0777-8889,Puerto Rico,"Anacroneuria, Araneae, H. atrolineatum, Heteragrion majus, Megapodagrionidae, Odonata, Perlidae, Plecoptera, Polythoridae, Theridiidae"
Juan Carlos,Gutierrez-Marco,0000-0003-4213-6144,,"Arachnostega gastrochaenae, Avalonia, Bellerophontoidea, Bivalvia, Cantabrica, Conocardiacea, Dalmanellidina, Echinodermata, Famatina, Graptolites, Hirnantia, Karadere, Lesueurilla, Linguliformea, Mollusca, Parakidograptus acuminatus, Pterotheca (Gastropoda), Rostroconchia, Schistes, Stylophora, Tolmachovia babini, Vizcainocarpus"
Carolina,Gutstein,0000-0002-0823-2434,,"Aves, Cetacea, Chondrichthyes, Holocephali, Iniidae, Isthminia panamensis, Mammalia, Mirounga, Odontoceti, Procellariiformes"
Julian,Gutt,0000-0003-3773-9370,,"Ainigmaptilon antarcticum, Amphipoda, Anomura, Apodida, Ascidiacea, Aspidochirotida, Asteroidea, Bathyplotes, Biológicas relevância, Cellaria incula, Coexistence, Corallium rubrum, Crustacea, Decapoda, Dendrochirotida, Echinodermata, Echinoidea, Elasipodida, Epibiotic, Euphausia superba, Eusirus perdentatus, Holothuroidea, Lithodes murrayi, Melicerita obliqua, Ophiuroidea, Phytodetritus, Platichthys flesus, Psolus dubiosus, Tunicata"
Choki,Gyeltshen,0000-0001-6790-6278,Bhutan,""
Thinley,Gyeltshen,0000-0002-5906-2922,Bhutan,"Coenagrion, Cordia globifera, Eumeninae, Himalagrion, Hymenoptera, Megalestes, Odonata, Synlestidae, Vespidae, Vespinae"
Yusuke,HIBINO,0000-0002-5670-3851,,"Anguilliformes, Diaphenchelys, Muraenidae, Myrophinae, Ophichthidae, Scolecenchelys gymnota"
Tommy Chung Hong,HUI,0000-0001-8684-3284,Hong Kong,"Brachyura, Crustacea, Potamidae"
Martin,Haase,0000-0002-9281-8752,,"Acochlidioidea, Acochlidium fijiense, Acrocephalidae, Acrocephalus paludicola, Aeolidiella glauca, Aeolidioidea, Albinaria hippolyti, Arianta arbustorum, Aves, Belgrandia, Belgrandiella, Bradybaena fruticum, Bythinella, Bythiospeum, Caenogastropoda, Clausiliidae, Collembola, Ecrobia grimmi, Ecrobia maritima, Fluviopupa, Gastropoda, Georissa, Gomphiocephalus hodgsoni, Graziana, Gruiformes, Grus grus, Haemoproteus, Helicidae, Helicoidea, Hirudinidae, Hydrobia, Hydrobiidae, Hydrocenidae, Mollusca, Neritopsina, Opisthobranchia, Passeriformes, Plasmodium, Porzana porzana, Potamopyrgus antipodarum, Pulmonata, Rallidae, Rallus aquaticus, Rissooidea, Stylommatophora, Sylvioidea, Tateidae, Theba, Theba pisana pisana, Truncatelloidea"
Charles,Haddad,0000-0002-2317-7760,,"Alphaproteobacteria, Amaurobioides, Ammoxenidae, Anyphaenidae, Apochinomma, Arachnida, Araneae, Araneidae, Araneoidea, Araneus apricus, Atypidae, Austrachelas, Calommata, Cambalida, Caponiidae, Castianeirinae, Cetonana, Cetoniini, Chelicerata, Clitaetra irenae, Coleoptera, Corinnidae, Cryptothele, Cyphophthalmi, Diploglena, Entelegynae, Eresidae, Gallieniellidae, Garypinidae, Geogarypidae, Graptartia, Heliophanus pistaciae, Hemiptera, Hodotermitidae, Isoptera, Lessertina, Lygaeidae, Medmassa, Messapus, Mexcala elegans, Micaria, Mygalomorphae, Nephila, Nysius natalensis, Olpiidae, Opiliones, Pasilobus, Pseudoscorpiones, Rastellus, Rickettsiales, Salticidae, Scarabaeidae, Stenaelurillus, Trinervitermes trinervoides, Zodariidae"
Renny Kurnia,Hadiaty,0000-0003-4597-5314,Indonesia,""
Louis,Hadjioannou,0000-0001-5864-5467,Cyprus,"Cladocora caespitosa, Smithornis broadbills"
Danny,Haelewaters,0000-0002-6424-0834,United States of America,"Ascomycota, Cantharomyces, Chrysomelidae, Coccinellidae, Coleoptera, Corethromyces, Curculionidae, Diphymyces, Diptera, Harmonia axyridis, Hesperomyces virescens, Ilyomyces, L. littoralis, Laboulbenia, Laboulbenia camerunensis, Laboulbenia slackensis, Laboulbeniales, Myrmica, Nycteribiidae, Rickia wasmannii, Staphylinidae, Stenus clavicornis, Zodiomyces"
Thomas,Haevermans,0000-0001-8934-4544,France,"Araceae, Aristidoideae, Asparagaceae, Bambusoideae, Cedrelopsis, Chamaesyce, Dombeya formosa, Dombeyoideae, Eremolaena, Euphorbia, Euphorbia pervilleana, Euphorbiaceae, Icacinaceae, Lacanthis, Malvaceae, Malvales, Musaceae, Pandanaceae, Pentachlaena, Perrierodendron, Poaceae, Ptaeroxylaceae, Rhopalobrachium fragrans, Rubiaceae, Sarcolaenaceae, Sartidia, Vietnamosasa"
Sibylle,Häggqvist,0000-0002-9294-3078,Sweden,"Ancistrocerus waldenii waldenii, Diptera, Eumeninae, Hymenoptera, Megaselia, Phoridae, Vespidae"
Ibrahim Khalil Al,Haidar,0000-0002-1011-0882,,"Insecta, Lepidoptera, Napothera brevicaudata, Reptilia, Serpentes, Squamata"
Masoud,Hakimitabar,0000-0002-0161-7008,,"Abalakeus, Abrolophus, Acari, Acariformes, Acrididae, Aleyrodidae, Allothrombium, Amblyseius swirskii, Arachnida, Bemisia tabaci, Charletonia, Charletonia stekolnikovi, Chyzeriidae, Collembola, Diptera, Empitrombium, Enemothrombium, Erythraeidae, Erythraeinae, Erythraeus (Erythraeus), Erythraeus (Zaracarus), Gennadius, Hauptmannia, Hemiptera, Heteroptera, Insecta, Leptus, Microtrombidiidae, Neothrombiidae, Orthoptera, Parawenhoekia, Phytoseiidae, Prostigmata, Pteridopus, Smarididae, Sphaerotarsus, Tephritidae, Tetranychidae, Tetranychus urticae, Trombiculidae, Trombidiformes, Trombidiidae, Xyphosiini"
Ali,Halajian,0000-0003-2279-940X,South Africa,"Acanthocephala, Accipitridae, Acipenser, Acipenseridae, Actinopterygii, Acuariidae, Amphibia, Amphistome, Argas vespertilionis, Argasidae, Atractolytocestus huronensis, Aves, Bartonella, Breviceps sylvestris, Centrorhynchidae, Centrorhynchus, Cestoda, Clinostomidae, Clinostomum complanatum, Corvus corone, Corvus frugilegus, Corynosoma strumosum, Cosmocephalus, Coxiella burnetii, Cryptococcus neoformans, Ctenocephalides canis, Ctenocephalides felis, Cyclophyllidea, Digenea, Entomelas sylvestris, Erinaceus concolor, Eucalyptus globulus, Fasciola, Gongylonema pulchrum, Hydatigera kamiyai, Hydatigera taeniaeformis, Ixodida, Kaupifalco monogrammicus, Leptorhynchoides, Mammalia, Mauremys caspica, Nematoda, Nephridiacanthus major, Oligacanthorhynchidae, Opisthorchidae, Papio ursinus, Pelargonium roseum, Phocidae, Pica pica, Polymorphidae, Pseudamphistomum truncatum, Rhabdiasidae, Rhadinorhynchidae, Rhipicephalus (Boophilus) annulatus, Rickettsia, Sphaerirostris picae, Spirurida, Taeniidae, Testudines, Trematoda, Trichuridae, Trichuris, Trichuris discolor, Trichuris globulosa, Trichuris ursinus"
Kathryn,Hall,0000-0002-8785-4513,,"Abyssocladia, Acanthuridae, Affecauda, Antorchis, Astrophorida, Cladorhizidae, Cytotoxic, Demospongiae, Dercitus, Desmacellidae, Digenea, Faustulidae, Fellodistomidae, Flagellotrema, Gyliauchenidae, I. vogelsangi, Ichthyotrema, Monanchora, Naso tuberosus, Neoheterobothrium hirame, Paralichthys olivaceus, Percomorpha, Petalocotyle, Phelloderma, Phellodermidae, Platyhelminthes, Poecilosclerida, Polycladida, Pseudoceros kylie, Pseudocerotidae, Ptychogyliauchen, Seriola dumerili, Sigmaxinella, Sponges (Porifera), Takifugu rubripes, Telotrema, Terebellida, Theonella, Theonellidae, Transversotrema, Transversotrematidae, Trematoda"
Gustaaf,Hallegraeff,0000-0001-8464-7343,Australia,"(Raphicophyceae, Alexandrium, Alexandrium catenella, Alexandrium diversaporum, Alexandrium minutum, Alexandrium tamarense, Algales, Artemia salina, Aspergillus, Aspergillus sydowii, Bacillariaceae, Bacillariophyceae, Chattonella, Chattonella marina, Chattonella marina raphidophyte, Chlorophyta, Chrysochromulina, Chrysophyta, Chrysophyta) prymnesiophyceae, Chrysophytes haptophytes, Cobricosphaeridium, Coccolithus pelagicus (sensu, Cochlodinium, Crassostrea gigas, Cryptoperidiniopsis brodyi, Dinoflagellate, Dinophyceae, Dinophyta, Emiliania huxleyi, Emiliania huxleyi (prymnesiophyceae, Gambierdiscus carpenteri, Gomphonema, Gomphonema tarraleahae, Gymnodinium, Gymnodinium catenatum, Gymnodinium catnatum, Gymnodinium dorsalisulcum, Gymondiniales, Haliotis laevigata, Haliotis rubra, Haptophyta, Haslea, Heterosigma, Karenia, Karlodinium, Licmophora flabellata, Marina, Minutum, Noctiluca scintillans, P. hasleana, Pfiesteria piscicida, Phycologia, Proteobacteria, Prymnesium parvum, Prymnesium parvum algal, Pseudo-nitzschia, Pseudo-nitzschia micropora, Pseudoalteromonas, Pyrodinium, Raphidophyceae, Rhombosolea, Symbiodinium, Takayama, Taparina, Tasmania, Thalassiosira, Thecadiniaceae, Thunnus, Thunnus maccoyii, Vulcanodinium rugosum"
Lénaïg ,Halos,0000-0002-2623-2008,,"Aedes aegypti, Aelurostrongylus abstrusus, Anaplasma phagocytophilum, Anaplasma platys, Angiostrongylus vasorum, Babesia, Babesia canis, Bartonella, Bartonella chomelii, Bartonella spp, Borrelia afzelii, Borrelia burgdorferi sensu, Bos taurus, Burkina, Chikungunya, Ctenocephalides felis, Ctenocephalides felis bouché, Cytauxzoon, Dermacentor reticulatus, Dipylidium caninum, Hippoboscidae, Ixodes ricinus, Leishmania infantum, Ornithodoros sonrai, Otodectes cynotis, Rattus rattus, Rhipicephalus sanguineus, Rhipicephalus sanguineus sensu, Rickettsia, Sarcoptes scabiei, Sarcoptes scabiei var. canis, Sus scrofa, Toxoplasma gondii, Toxoplasmosis, Troglostrongylus brevior, Troglostrongylus brevior lungworms"
Peter,Hambäck,0000-0001-6362-6199,Sweden,"Asecodes, Brassica, Chrysomelidae, Cicerbita macrophylla, Cionus, Coffea, Coleoptera, Delia floralis, Diptera, Eulophidae, Galerucella, Galerucella spp, Hymenoptera, Lythrum salicaria, Phalacrocorax carbo, Scrophularia nodosa"
Azwan,Hamdan,0000-0001-9111-8802,Malaysia,""
Javad,Hamedi,0000-0002-0491-2205,Iran (Islamic Republic of),""
Timothy,Hammer,0000-0003-3816-7933,,"Amaranthaceae, Eneabba sandplains, Menyanthaceae, Nymphoides, Ptilotus, Ptilotus benlii, Ptilotus gaudichaudii"
Michael,Hammer,0000-0002-0981-4647,,"Actinopterygii, Argyrosomus japonicus, Atherinidae, Craterocephalus fluviatilis, Edwardsiella ictaluri, Enterobacteriaceae, Euastacus bispinosus, G. pusilla, Gadopsis, Galaxias truttaceus, Galaxiella, Gobiidae, Hypseleotris, Kakadu, Mogurnda adspersa, Nannoperca australis, Nannoperca obscura, Nesogobius, Oxudercinae, Percichthyidae, Perciformes, Periophthalmus minutus, Proteobacteria, Retropinna, Retropinnidae, Sciaenidae, Scleropages formosus, Teleostei"
James,Hammond,0000-0002-8829-2524,Canada,""
Vladimir,Hampl,0000-0002-5430-7564,,"Allobilharzia visceralis, Anatidae, Cochlosoma, Coexistence, Cygnus cygnus, Euglena gracilis, Euglenida, Euglenids, Eukaryotes, Eutreptiella, Excavata, Flagellate, Heterolobosea, Hexamastix, Honigbergiella, Karotomorpha, Lymnaea stagnalis, Monocercomonoides, Parabasalids, Proteromonadidae, Protoopalina intestinalis, Pyramimonas parkeae, Radix spp, Tetratrichomonas, Trichobilharzia, Trichomonadida, Trichomonas vaginalis, Trimastix pyriformis, Tritrichomonas foetus, Tritrichomonas suis"
Sarah,Hamsher,0000-0002-5748-9770,United States of America,""
Jian,Han,0000-0002-2134-4078,,"Brachiopod, Brachiopoda, Cnidaria, Diandongia pista, Facivermis, Kunmingella douvillei, Lingulata, Lingulellotreta, Longtancunella chengjiangensis, Luolishania, Magadictyon cf. haikouensis, Miraluolishania, Onychodictyon, Priapulomorpha, Sidneyia, Squamacula clypeata, Urokodia"
Taeman,Han,0000-0002-1654-2408,,""
Sangyun,Han,0000-0003-4903-321X,Korea (Republic of),""
Suzanne,Hand,0000-0002-4940-3391,Australia,"(Collimbidae, Acanthisittidae, Anacardiaceae, Anatidae, Anserinae, Anura, Archaeonycteridae, Archerops, Aves, Barinya kutjamarpensis, Casuariidae, Charadriiformes, Chionoidea, Chiroptera, Chulpasia, Corrigendum, Crustacea, Dasyuromorphia, Dinornithiformes, Diprotodontia, Diprotodontidae, Dromornithidae, Emuarius gidju, Ganguroo, Ganguroo bilamina, Gumardee pascuali, Hipposideridae, Hipposideros (Brachipposideros), Hypsiprymnodontidae, Kambara, Kollikodon ritchiei, Kutjamarcoot brevirostrum, Leiopelmatidae, Litokoala, Macroderma gigas, Macropodidae, Macropodoidea, Mammalia, Manuherikia, Marsupialia, Megadermatidae, Microchiroptera, Miminipossum notioplanetes, Miophyllorhina, Molossidae, Monotremata, Mystacina, Mystacinidae, Necromantis, Neohelos, Nimbacinus dicksoni, Nimbadon lavarackorum, Noctilionoidea, Notoryctemorphia, Obdurodon, Ornithorhynchidae, Orthonychidae, Orthonyx kaldowinyeri, Passeriformes, Peramelemorphia, Peramelidae, Phascolarctidae, Pleiogynium, Pseudocheiridae, Rhizophascolonus crowcrofti (vombatidae, Riversleigha williamsi, Thylacinidae, Thylacoleonidae, Thylacomyidae, Thylacotinga, Tingamarra, Vombatidae marsupialia, Wabularoo, Wakaleo, Warendja, Xenorhinos, Yingabalanaridae"
Sean,Handley,0000-0003-1344-763X,,"(Heterofibria) manipulatus, Boccardia knoxi, Crassostrea gigas, Demospongiae, Eudistoma elongatum, Houhora, Mycale hentscheli, Ostrea chilensis, Parapercis colias, Poecilosclerida, Spongia (Heterofibria), Spongia (Heterofibria) manipulatus"
